spendingType,date,amountOfMoney,description,index,spendingTypeText
"1","4/2/2010","105","","1","EDUCATION"
"6","1/24/2018","257","","2","SPORT"
"8","7/2/2009","327","","3","UTILITIES"
"8","8/27/2015","712","","4","UTILITIES"
"0","2/25/2014","389","","5","ART"
"2","3/6/2014","68","","6","GOVERNANCE"
"7","11/25/2017","1539","","7","TRANSPORT_ROADS_HOUSEHOLD"
"8","10/13/2018","360","","8","UTILITIES"
"6","7/23/2011","367","","9","SPORT"
"6","9/17/2016","1163","","10","SPORT"
"0","9/9/2011","1579","","11","ART"
"2","7/8/2017","33","","12","GOVERNANCE"
"1","5/28/2010","1178","","13","EDUCATION"
"4","4/9/2014","926","","14","SOCIAL_WELFARE"
"8","3/4/2009","1275","","15","UTILITIES"
"3","3/19/2018","170","","16","INTERGOVERNMENTAL_TRANSFERS"
"0","3/18/2013","257","","17","ART"
"0","7/25/2018","1741","","18","ART"
"5","9/4/2010","732","","19","SOCIETY_DEFENCE"
"8","11/8/2011","321","","20","UTILITIES"
"7","3/8/2009","1967","","21","TRANSPORT_ROADS_HOUSEHOLD"
"5","2/5/2013","740","","22","SOCIETY_DEFENCE"
"1","1/20/2017","1564","","23","EDUCATION"
"3","1/16/2013","764","","24","INTERGOVERNMENTAL_TRANSFERS"
"0","2/13/2012","701","","25","ART"
"4","3/4/2014","1647","","26","SOCIAL_WELFARE"
"7","9/5/2009","1570","","27","TRANSPORT_ROADS_HOUSEHOLD"
"2","8/25/2017","1738","","28","GOVERNANCE"
"4","11/11/2010","1032","","29","SOCIAL_WELFARE"
"4","10/16/2013","397","","30","SOCIAL_WELFARE"
"6","11/23/2017","1581","","31","SPORT"
"6","1/26/2015","307","","32","SPORT"
"4","1/21/2011","1955","","33","SOCIAL_WELFARE"
"6","1/27/2011","516","","34","SPORT"
"5","2/4/2013","505","","35","SOCIETY_DEFENCE"
"5","6/3/2016","1873","","36","SOCIETY_DEFENCE"
"0","4/15/2010","1452","","37","ART"
"2","5/12/2011","8","","38","GOVERNANCE"
"3","11/21/2016","1129","","39","INTERGOVERNMENTAL_TRANSFERS"
"3","8/13/2011","1847","","40","INTERGOVERNMENTAL_TRANSFERS"
"0","9/25/2015","571","","41","ART"
"8","7/20/2013","241","","42","UTILITIES"
"6","2/6/2009","1336","","43","SPORT"
"5","11/4/2018","712","","44","SOCIETY_DEFENCE"
"2","10/27/2015","1091","","45","GOVERNANCE"
"5","2/19/2015","1001","","46","SOCIETY_DEFENCE"
"6","5/23/2009","66","","47","SPORT"
"3","8/21/2009","1694","","48","INTERGOVERNMENTAL_TRANSFERS"
"0","8/17/2012","1592","","49","ART"
"3","7/17/2014","1074","","50","INTERGOVERNMENTAL_TRANSFERS"
"8","7/10/2011","752","","51","UTILITIES"
"3","7/26/2017","1125","","52","INTERGOVERNMENTAL_TRANSFERS"
"4","4/14/2011","120","","53","SOCIAL_WELFARE"
"1","11/14/2013","1484","","54","EDUCATION"
"7","10/25/2015","1241","","55","TRANSPORT_ROADS_HOUSEHOLD"
"7","7/18/2018","1561","","56","TRANSPORT_ROADS_HOUSEHOLD"
"4","9/3/2011","1559","","57","SOCIAL_WELFARE"
"8","7/24/2010","1563","","58","UTILITIES"
"1","10/17/2018","1891","","59","EDUCATION"
"5","10/6/2015","669","","60","SOCIETY_DEFENCE"
"4","10/18/2009","468","","61","SOCIAL_WELFARE"
"5","2/23/2013","207","","62","SOCIETY_DEFENCE"
"6","10/7/2016","1342","","63","SPORT"
"3","1/7/2014","1685","","64","INTERGOVERNMENTAL_TRANSFERS"
"1","8/3/2012","394","","65","EDUCATION"
"2","9/14/2010","1117","","66","GOVERNANCE"
"6","7/5/2017","1959","","67","SPORT"
"4","11/28/2010","1543","","68","SOCIAL_WELFARE"
"4","4/20/2009","83","","69","SOCIAL_WELFARE"
"4","9/25/2013","909","","70","SOCIAL_WELFARE"
"8","3/22/2012","1330","","71","UTILITIES"
"5","11/18/2015","1961","","72","SOCIETY_DEFENCE"
"1","6/8/2014","523","","73","EDUCATION"
"1","4/21/2014","1155","","74","EDUCATION"
"2","9/11/2016","1758","","75","GOVERNANCE"
"7","10/28/2010","1645","","76","TRANSPORT_ROADS_HOUSEHOLD"
"8","5/24/2014","73","","77","UTILITIES"
"6","3/23/2014","1526","","78","SPORT"
"2","10/7/2009","1156","","79","GOVERNANCE"
"6","9/21/2014","57","","80","SPORT"
"8","5/1/2013","159","","81","UTILITIES"
"2","2/4/2012","1420","","82","GOVERNANCE"
"5","3/7/2014","1245","","83","SOCIETY_DEFENCE"
"0","4/19/2017","33","","84","ART"
"1","9/25/2009","1974","","85","EDUCATION"
"4","11/4/2009","1294","","86","SOCIAL_WELFARE"
"6","1/17/2017","1944","","87","SPORT"
"2","10/5/2014","508","","88","GOVERNANCE"
"4","3/10/2011","1854","","89","SOCIAL_WELFARE"
"7","7/8/2016","1637","","90","TRANSPORT_ROADS_HOUSEHOLD"
"5","7/15/2010","1964","","91","SOCIETY_DEFENCE"
"8","4/22/2009","1175","","92","UTILITIES"
"6","4/8/2015","159","","93","SPORT"
"8","8/27/2013","443","","94","UTILITIES"
"8","3/25/2012","1861","","95","UTILITIES"
"2","4/7/2009","430","","96","GOVERNANCE"
"4","6/28/2016","764","","97","SOCIAL_WELFARE"
"6","1/19/2017","1706","","98","SPORT"
"6","6/15/2018","1298","","99","SPORT"
"2","8/15/2014","757","","100","GOVERNANCE"
"2","4/6/2010","1005","","101","GOVERNANCE"
"0","7/8/2018","1193","","102","ART"
"5","9/25/2017","435","","103","SOCIETY_DEFENCE"
"5","11/18/2012","987","","104","SOCIETY_DEFENCE"
"3","5/10/2018","1812","","105","INTERGOVERNMENTAL_TRANSFERS"
"5","11/2/2017","1819","","106","SOCIETY_DEFENCE"
"2","2/19/2011","513","","107","GOVERNANCE"
"4","8/17/2009","992","","108","SOCIAL_WELFARE"
"2","8/6/2016","748","","109","GOVERNANCE"
"2","6/22/2010","787","","110","GOVERNANCE"
"2","6/8/2014","28","","111","GOVERNANCE"
"2","9/5/2015","425","","112","GOVERNANCE"
"0","7/21/2012","1151","","113","ART"
"1","8/20/2012","1162","","114","EDUCATION"
"4","11/9/2009","988","","115","SOCIAL_WELFARE"
"8","4/28/2009","1183","","116","UTILITIES"
"2","6/10/2014","469","","117","GOVERNANCE"
